State,count
Washington,547
Ohio,286
Florida,283
California,281
Texas,218
Illinois,211
Oregon,189
Michigan,161
Missouri,140
Georgia,121
Colorado,108
Arkansas,102
Kentucky,100
West Virginia,92
Alabama,88
British Columbia,86
Oklahoma,81
North Carolina,81
Virginia,79
Wisconsin,78
Idaho,74
Arizona,65
Tennessee,63
New York,62
Pennsylvania,54
Montana,48
New Jersey,47
Utah,45
Minnesota,44
Indiana,43
Iowa,43
Kansas,39
Ontario,38
Louisiana,33
South Carolina,27
Alberta,27
New Mexico,24
Massachusetts,23
Mississippi,21
Connecticut,16
Nebraska,14
Alaska,12
Maryland,12
Manitoba,12
Wyoming,11
Error,10
Maine,9
State not found,9
Nevada,7
New Hampshire,7
South Dakota,6
Rhode Island,5
Quebec,4
North Dakota,4
Saskatchewan,4
Vermont,4
New Brunswick,3
Yukon,3
Delaware,3
Nova Scotia,2
