number,title,classification,timestamp,latitude,longitude,year,State,report_number,observed
65679,Report 65679: Afternoon sighting of a bigfoot by motorist on Hwy 17 just north of Deer Park,Class A,2020-04-16T12:00:00Z,31.24305,-88.31126,2020,Alabama,65679.0,I was driving home from work in the afternoon and completely preoccupied with thoughts of my struggles. When my eyes caught something. However my mind was still not focused other than I was waiting for movement of sorts. It’s second nature to keep a eye out for deer in this area. When I finally noticed that I was looking at  something unusual.  I saw a tall hairy animal walking off into the woods (on two feet) from the road. It had long blonde to light brown hair all over. I never saw the face. I kept my eyes focused on the woods where it walked into. When I reached that spot I was completely shocked at the size that creature was. It had to be at least 9 - 10 feet tall. The only thing I could think of was Bigfoot. Note: I have never been a believer of Bigfoot before but what I saw that day is something I can’t stop thinking about.
67423,Report 67423: Sighting of a Sasquatch crossing forest road off I-20 near AL/GA state border.,Class A,2020-06-15T12:00:00Z,33.64341,-85.41961,2020,Alabama,67423.0,"Me and my wife and two girls were going to see my parents who live in Cleburne county AL and my daughter who had not long gotten her drivers license was driving and I was up front in the passenger seat and my wife and other daughter was in the back. We had just gotten of the interstate and had turned down the long back road that takes us to my parents . And as we came over a hill and something huge and black darted across the road on two feet and into the woods about 50 yards ahead . My daughter said what was that I was like I have no idea , it was massive and very wide across the shoulders and it’s head seemed to just sit on top of its huge shoulders, like this thing was taller and wider than anything I’ve ever seen and moved with unreal speed . My daughter didn’t really get a good of look at it she just seen something big zip across the road , but I seen it long enough to see it was standing up on two feet and really big and I guess what stands out to me the most is just how wide it’s upper body was  big enough to know that no other animal could even come close especially around here, and it’s height I’m just guessing but it seemed easily 8 feet  . I still can’t believe that something like this actually exist I mean how can something that big not be seen more ,you hear the stories but to see something like this that you can’t explain, and you know most people will not believe you but I guess now I’m a believer"
67413,Report 67413: Two motorists sighting of a sasquatch 4 miles south of Silverton BC on Hwy 6 near Slocan Lake,Class A,2020-12-25T12:00:00Z,49.89706,-117.3797,2020,British Columbia,,
67412,Report 67412: Couple observes a sasquatch YESTERDAY while hunting deer on Eglin Air Force Base,Class A,2020-12-26T12:00:00Z,30.6098,-86.4945,2020,Florida,67412.0,"My husband and I were sitting in the woods hunting in northern Florida, about an hour from Alabama. We were sitting in the brush and heard a loud crunch, thinking it was a big buck, when my husband and I turned to look about 80 yards out we see a massive human like figure that was covered in meduim longish brown hair looking from behind a large oak tree at the end of a bottom, towards the entrance of a branch head. About 30 minutes later we heard another load crunch and right behind a pine tree we looked and another 80 yards out heading towards the bottom we see the same large hairy human figure turning and heading deeper into the creek bottom."
65536,Report 65536: Father & daughter sighting in Yellowwood State Forest,Class A,2020-05-09T12:00:00Z,39.24841,-86.33011,2020,Indiana,65536.0,"Me and my 11yr old daughter was spring turkey hunting 2020 in yellowood state forest behind our house. She seen it first, then I saw it. I watched in disbelief as it moved away from us. It was approximately 6ft tall, grey in color and very, very strong looking."
66109,Report 66109: Multi-witness daylight sighting along powerlines south of Bryant Pond,Class A,2020-09-26T12:00:00Z,44.34113,-70.61507,2020,Maine,66109.0,"Had a sighting yesterday. Oxford County, Maine. Was in the power lines clearing that runs through a friends land cutting a downed tree out of the atv trail. Was with 2 friends who asked me how far the land goes and if anyone lives down there. They had a sort of 1000 yard stare down the power lines. I look up to see what they were looking at and about 200 yards down the powerlines we see a massive bipedal creature walking towards us. It stopped when it noticed us and took a fast left turn into the woods. From the power lines to the road is roughly 400 ft of woods and has a trail about 30 feet behind where we saw the creature that goes straight to the road. I jumped on the 4 wheeler and made a straight shot down that trail to the road to try and get a closer view. It was completely gone. Made 400 ft through the woods and across the road out of sight in less than 2 minutes. While investigating the sand on the side of the road for prints we heard a short howl followed by 2 sets of 3 tree knocks."
65867,Report 65867: Daylight sighting along Lake Huron north of Lexington,Class A,2020-08-01T12:00:00Z,43.39116,-82.53918,2020,Michigan,65867.0,"On August 1st, 2020, my 3 sons and I were out for a day-trip drive along the Lake Huron shoreline, north of Lexington, MI. There's many stretches of wooded areas on the lake side of the road, and rural farmland on the west side, along this route. At approximately 12:50 PM, 1 and a half to 2 miles south of Port Sanilac, MI, we were driving northbound on M-25, and my oldest son (15 yrs), seated next to me in the front, said ""Oh my God"" and stared straight ahead. I was still driving, and asked him what was wrong. He didn't initially answer and his 13 year old brother (seated behind him in the backseat) also asked him what was the matter. He finally spurted out ""I just saw a bigfoot!"". I thought he was joking at first, as he's always been a notable skeptic of my interest in Sasquatch research. But he adamantly insisted he wasn't kidding and described what he saw in the woods on the east side (Lakeside) of the road. He said he saw a large dark figure walking south through the woods. He says it was too a dark in the canopy of the woods to see a face, but the reason he noticed it at all was that it was moving exactly like the figure ""in that old grainy footage that everyone always talks about"" (the Patterson footage). He says the arms were longer than its torso and that he could tell it had fur much in the same way you can tell a dog has fur from a distance, that it wasn't skin that he was seeing. It was definitely walking, not standing still, and it's arms were swinging. He guesses that it was around 100 yards or less away. He estimates that it was around 8 feet tall (he said his impression of it made him feel short. My son is 6' 2""). He says it had very broad shoulders. He was able to watch it for approximately 5 seconds as we traveled in the opposite direction that it was headed. As soon as he told me what he'd seen, I turned around and drove back to the location. Traffic was moderately steady, being a summer Saturday afternoon, so it took a couple minutes to return to the exact spot and then find a safe spot nearby to pull off. We didn't see anything at that point, but I pinned the area on my GPS. The exact coordinates are 43.391164, -82.539186"
67381,Report 67381: Sasquatch sighting by motorist 5 miles west of Ely,Class A,2020-11-09T12:00:00Z,47.87965,-91.97748,2020,Minnesota,67381.0,11/9/20 11:15 am West bound HWY 169 - 1/8 mile or so past Twin Lakes Road sign on left side of road. It was 6-6.5 feet tall walking on two legs crossing a smaller road off to left walking parallel to me driving. It crossed the road ditch to ditch with three steps. I had 3-4 seconds of clear view. I saw very clearly the creatures back and right side of body. I saw grey to brown long hair. Kind of like the coloring of a grey squirrel. The hair was wire like. It was about 2 truck lengths from my van. I laughed and told my husband and my kids I think I just saw Bigfoot haha. I told my husband what I saw stating it must be someone in a suit because I saw it clear as I would look and see a rabbit or a wolf crossing the road. He said that would have to be somebody really crazy since it’s the third day of deer hunting season.
65808,Report 65808: Couple sees a white sasquatch at Settle's Ford Conservation Area.,Class A,2020-07-23T12:00:00Z,38.46156,-94.14297,2020,Missouri,65808.0,"I was going to Settle's Ford conservation area with my girlfriend to look at the stars. We pulled up to a gravel parking lot with fields to the east and a tree line to the west. My girlfriend and I felt uneasy for some reason when we got out of the car, but it had only been our second time there and we didn't bring her dog this time around. I have a pretty powerful little spotlight flashlight with a zoom lens to really get a distant read on eye shine. I decided to do a quick look around with it and almost out it down when I thought i saw something out of place in the field. I don't know why it caught my attention, as I had just skimmed over it with my flashlight before bringing it back around to decipher whether or not I was looking at an animal or a tree. But I noticed it was a little more... white? I shined the light on this thing for no more than 3 seconds before it started moving west. This was 50 yards away, but the first thought that came to my mind was it was a man, and told my girlfriend to immediately get in the car. Once I jumped in I realized that it is nearly 1 am, there are no cars here, and nobody would be in a field dressed in white at the hours. It just doesn't make sense. I then pulled my car around back to the road in it's direction to try and take a closer look, but only 40 feet or so down the gravel road, the fog started to get heavy. Feeling incredibly creeped out, me and my girlfriend high tailed it back home. From the distance in the fog, I could tell it was white, upright, somewhat slender and VERY tall. The head was distinct from the rest of the body and it seemed to move at a little more than casual pace once it realized I could see it standing there. I know this was not a deer because I would see the rest of it's body and I know it wasn't another person because a singular person would be out of there mind to walk out into a field to hang out in the middle of the night. Plus it was way too tall.  I will not be going back to this area."
66158,Report 66158: Motorist's daylight sighting in farmlands 45 miles northeast of Springfield,Class A,2020-10-05T12:00:00Z,37.46392,-92.52242,2020,Missouri,66158.0,"I’m Gladys Andresen from Grovesprings, MO. 65662 About 9:30 to 10:30 am, I left my home on HYW TT heading to the town of Lebanon, MO. Beautiful day, just past junction NN driving about 40 miles an hour. As I looked to my left there stood a huge Bigfoot. Reddish brown long hair, about 3’ 1/2 ‘ wide across his chest. His arms hanging to his side, his hands were long enough to go past his hips. Stunning creature.  As I passed, he had already cleared the tree line, stood as to look back and fourth for traffic. We locked eyes and looked at each other till I was past him. He wasn’t startled, he just stood there as if he knew me. I smelled a musty odor in the air. He definitely was an Alpha Male. No fear. About 9’ tall. Huge. If I would of stopped, I feel like I could have shook hands with him. No photo. But I keep my phone on camera from now on. It’s day time sightings. Not night time. Gladys Andresen"
