number,title,classification,timestamp,latitude,longitude,year,State,report_number,observed
75309,Report 75309: Daylight road crossing sighting of a Sasquatch 65mi NE of Valdez,Class A,2022-05-15T12:00:00Z,61.96802,-145.3427,2022,Alaska,75309.0,"This past spring at approximately mile 106 Richardson Hwy, traveling to Princess Hotel for breakfast on a Sunday morning, about 1/4 before the right turn to Princess Hotel a very Large 2 legged CRITTER ran across the road in front of me and my wife. In 3 steps on a dead run was into the ditch and into the timber. Wish the snow would have been on the ground, but ditches weren't mowed yet.  No visible tracks just brush pushed down. Never seen anything afterwards till late summer in August, watching TV late evening I started hearing noises and thought my surround sound was on, muted the tv, randomly heard it, sounds like a wood knock, and frequently I went outside and it was coming from behind the house. I live at mile 109 Richardson, and no neighbors in that direction for quite aways.  It kinda freaked me after. I knew what it was but after that I haven't heard anything since.  I always carry a sidearm when cutting firewood or just out riding. I truly believe we have a Bigfoot in our area"
44487,Report 44487: Memory told of a close dalylight observation outside Alexander City,Class A,2014-03-30T12:00:00Z,32.91874,-85.9793,2014,Alabama,44487.0,"Not a good writer, but what happened to me and a friend  - we were walking down an old pulpwood road with his german shepherd  and got a strong smell like a goat and stopped my friend. I walked ahead about 20 ft and said it might be a big rattle snake, about that time I heard leaves rustling and it got louder and a tree about 6 inches around shook back and forth about 2 feet each way and I heard the leaves moving like something was running away. I pulled some branches back and there it was, about 20 feet running away on 2 legs at a very fast pace. It was about 8 feet tall and I could see its muscles in its legs moving and the whitish skin under the 3 inch black hair. Long arms no neck as plain as day. My friend never saw it and didn't believe me. But it changed my life. Would like for someone to call me. Two weeks later in the dentist was an outdoors magazine with the Patterson film in it."
44849,Report 44849: Sightings at night in the same area off Bone Camp Road near Northport,Class A,2014-12-27T12:00:00Z,33.37095,-87.6942,2014,Alabama,44849.0,Was driving home at night about 9:00 pm. Turned on Bone Camp road from highway 171 and saw a large figure standing in the brush. As I turned on my brights it had taken off in the brush. This is the second time I've seen this thing and a friend of mine who lives on Bone Camp has also seen it as well as finding strange tree formations and randomly snapped limbs.
44986,"Report 44986: Memory told of a close up daylight encounter with two, possibly young, Bigfoots near Abbeville",Class A,2014-12-31T12:00:00Z,31.651,-85.19265,2014,Alabama,44986.0,"When my aunt was about 11 or 12 years old, she was helping her older cousin (Jerry) in the field at her aunt's house in an area called ""Screamer"" in Henry County, Alabama.  It was a hot day, and after some time Jerry grew very thirsty and asked my aunt to walk up the road to the house and get him a glass of water.  My aunt then walked through the field back toward the dirt road leading to her aunt's house.  Upon reaching the dirt road, she saw two creatures standing on the other side of the road.  She stopped and began slowly backing up, then stopped again.  She stood there looking at them, and they looking at her, for a minute or so, long enough for her to get a good look at them.  They were only around 10 feet away from her at that point - she on one side of the dirt road and they on the other.  She described them as standing next to each other.  One was, in her estimation, around 5 feet tall and the other was slightly shorter, around 4 feet tall.  She said that she got the impression that they were young.  She said that they were ""real hairy"" and completely covered in dark brownish black hair, that they looked sort of like gorillas but with human looking faces with hair on them, human looking hands, and human looking feet.  She said their noses were free of hair and that the color of their noses was dark brown or black, as were their feet and hands.  They stood very still other than blinking, just looking at her.  Except for being covered in thick hair, their faces looked human with regular human-looking noses.  After a minute or so, she took off running as fast as she could back up to the house to get the water Jerry had requested.  She did not look back as she ran.  She got the water, and proceeded to walk back toward the field.  The creatures were not there anymore.  She never told anyone about this incident until just a couple of months ago because she was always afraid people would make fun of her."
45296,Report 45296: Motorist observes a Bigfoot chasing a deer at night near Bremen,Class A,2014-06-09T12:00:00Z,34.00806,-86.96416,2014,Alabama,45296.0,"Saw a deer run across the road, right behind it was covered in brownish black hair and was at least 7-8 ft tall huge upper body sorta narrow at the hips I can draw ya a pic of it"
45464,Report 45464: Motorist has a daylight sighting on Hwy. 9 east of Cedar Bluff,Class A,2014-06-17T12:00:00Z,34.14117,-85.22781,2014,Georgia,45464.0,"I was driving home from Cedar Bluff high school on Hwy 9 towards my house. As I was coming down the road I caught a glimpse of something at the edge of the wood line. I put on my brakes to get a better view and that's when I saw what it was. It was about 7 to 8 feet tall. Dark hairy color and was standing on 2 legs. It stood and stared at me a few seconds and then turned and walked back into the woods. It took 2 strides and it was gone. I was freaked out!!!! I knew when I saw it, that it was a sasquatch. I came home and told my husband what I had saw and he could clearly tell that I was shaken up."
46746,Report 46746: Nighttime sighting by a motorist west of Newville,Class A,2014-09-17T12:00:00Z,31.23374,-85.21574,2014,Alabama,46746.0,My wife and me and our two children were coming home from my aunts house between 3 and 4 am. It was very foggy. We were within a couple miles from home when she spotted what she said was a very broad creature that stood on two legs and I became really excited when she said what stuck out to her the most was the figures cone shaped head and the way the hair shined when the lights hit it. I am still angry with myself because I was asleep on the passenger seat. She says the creature had its back to the road and disappeared when we went past it. She franticly explained to me what she saw when we got home and being the Bigfoot enthusiast I am jumped in my car and returned to the spot but didn't see anything.
50178,Report 50178: Recollection of a roadside sighting of a white Bigfoot near Blount Springs,Class A,2014-01-14T12:00:00Z,33.89833,-86.84557,2014,Alabama,50178.0,"I was driving a VW bus so I had a good view of my surroundings. As I rounded the first corner of the exit I noticed what I thought was a big white dog, like an Afghan running on all fours toward the road, up an embankment. We both reached the same point at the same time and I thought I would hit the dog. It seemed it didn't notice my car until it reached the side of the road when it was only feet away from the car. I don't remember slowing much but I wasn't going very fast to start with as the curve was pretty tight. As the creature reached the road and I saw it, it stood up on it's back legs. It was covered with long white hair maybe 8 inches long, it wasn't thick but more stringy and dirty looking and it had a round head, not a dog.  I passed the creature and didn't catch it in my mirrors as it was dark. It scared me.I didn't get much detail of it's face but I did notice a fairly large mouth or lips which were prominent. The head was not huge and the body was pretty slender, it was probably as tall as the VW when it stood up, over 6 feet."
65679,Report 65679: Afternoon sighting of a bigfoot by motorist on Hwy 17 just north of Deer Park,Class A,2020-04-16T12:00:00Z,31.24305,-88.31126,2020,Alabama,65679.0,I was driving home from work in the afternoon and completely preoccupied with thoughts of my struggles. When my eyes caught something. However my mind was still not focused other than I was waiting for movement of sorts. It’s second nature to keep a eye out for deer in this area. When I finally noticed that I was looking at  something unusual.  I saw a tall hairy animal walking off into the woods (on two feet) from the road. It had long blonde to light brown hair all over. I never saw the face. I kept my eyes focused on the woods where it walked into. When I reached that spot I was completely shocked at the size that creature was. It had to be at least 9 - 10 feet tall. The only thing I could think of was Bigfoot. Note: I have never been a believer of Bigfoot before but what I saw that day is something I can’t stop thinking about.
67423,Report 67423: Sighting of a Sasquatch crossing forest road off I-20 near AL/GA state border.,Class A,2020-06-15T12:00:00Z,33.64341,-85.41961,2020,Alabama,67423.0,"Me and my wife and two girls were going to see my parents who live in Cleburne county AL and my daughter who had not long gotten her drivers license was driving and I was up front in the passenger seat and my wife and other daughter was in the back. We had just gotten of the interstate and had turned down the long back road that takes us to my parents . And as we came over a hill and something huge and black darted across the road on two feet and into the woods about 50 yards ahead . My daughter said what was that I was like I have no idea , it was massive and very wide across the shoulders and it’s head seemed to just sit on top of its huge shoulders, like this thing was taller and wider than anything I’ve ever seen and moved with unreal speed . My daughter didn’t really get a good of look at it she just seen something big zip across the road , but I seen it long enough to see it was standing up on two feet and really big and I guess what stands out to me the most is just how wide it’s upper body was  big enough to know that no other animal could even come close especially around here, and it’s height I’m just guessing but it seemed easily 8 feet  . I still can’t believe that something like this actually exist I mean how can something that big not be seen more ,you hear the stories but to see something like this that you can’t explain, and you know most people will not believe you but I guess now I’m a believer"
