State,Details
Alaska,"Reports commonly describe large, bipedal creatures with notable features such as unusual height, distinctive eye color, and significant physical strength. Observations often occur in secluded, wooded areas, highlighting an agile, elusive nature."
Alabama,"Reports commonly describe large, bipedal creatures with notable features such as unusual height, distinctive eye color, and significant physical strength. Observations often occur in secluded, wooded areas, highlighting an agile, elusive nature."
Georgia,"Reports commonly describe large, bipedal creatures with notable features such as unusual height, distinctive eye color, and significant physical strength. Observations often occur in secluded, wooded areas, highlighting an agile, elusive nature."
Arkansas,"Reports commonly describe large, bipedal creatures with notable features such as unusual height, distinctive eye color, and significant physical strength. Observations often occur in secluded, wooded areas, highlighting an agile, elusive nature."
Arizona,"Reports commonly describe large, bipedal creatures with notable features such as unusual height, distinctive eye color, and significant physical strength. Observations often occur in secluded, wooded areas, highlighting an agile, elusive nature."
California,"Reports commonly describe large, bipedal creatures with notable features such as unusual height, distinctive eye color, and significant physical strength. Observations often occur in secluded, wooded areas, highlighting an agile, elusive nature."
State not found,"Reports commonly describe large, bipedal creatures with notable features such as unusual height, distinctive eye color, and significant physical strength. Observations often occur in secluded, wooded areas, highlighting an agile, elusive nature."
Alberta,"Reports commonly describe large, bipedal creatures with notable features such as unusual height, distinctive eye color, and significant physical strength. Observations often occur in secluded, wooded areas, highlighting an agile, elusive nature."
British Columbia,"Reports commonly describe large, bipedal creatures with notable features such as unusual height, distinctive eye color, and significant physical strength. Observations often occur in secluded, wooded areas, highlighting an agile, elusive nature."
Manitoba,"Reports commonly describe large, bipedal creatures with notable features such as unusual height, distinctive eye color, and significant physical strength. Observations often occur in secluded, wooded areas, highlighting an agile, elusive nature."
New Brunswick,"Reports commonly describe large, bipedal creatures with notable features such as unusual height, distinctive eye color, and significant physical strength. Observations often occur in secluded, wooded areas, highlighting an agile, elusive nature."
Ontario,"Reports commonly describe large, bipedal creatures with notable features such as unusual height, distinctive eye color, and significant physical strength. Observations often occur in secluded, wooded areas, highlighting an agile, elusive nature."
